id,title_ko,title_en,title_ja,title_zh,title_es,story_ko,story_en,story_ja,story_zh,story_es,q1_ko,q1_en,q1_ja,q1_zh,q1_es,q2_ko,q2_en,q2_ja,q2_zh,q2_es
459,낯선 이에게 먼저 인사하기,Saying Hello First to a Stranger,見知らぬ人に先に挨拶する,主动向陌生人打招呼,Saludar primero a un desconocido,"엘리베이터에서 마주친 이웃에게 먼저 인사했습니다. 짧은 인사 하나가 따뜻한 하루의 시작이 되었고, 하나님의 사랑을 작은 행동으로 전할 수 있었습니다.",I greeted a neighbor first in the elevator. That short greeting brought warmth to the day and became a small way to show God’s love.,エレベーターで出会った隣人に先に挨拶しました。その短い挨拶が一日の温かい始まりとなり、神様の愛を小さな行動で伝えることができました。,我在电梯里主动向邻居打招呼。简短的问候成了温暖的一天的开始，也成为传递神爱的一个小方式。,Saludé primero a un vecino en el ascensor. Ese breve saludo hizo que el día comenzara con calidez y fue una forma sencilla de mostrar el amor de Dios.,오늘 나는 누구에게 따뜻한 인사를 전했나요?,To whom did I offer a warm greeting today?,今日は誰に温かい挨拶をしましたか？,今天我向谁传达了温暖的问候？,¿A quién saludé con calidez hoy?,하나님의 사랑을 표현하는 나의 태도는 어떤가요?,How am I expressing God's love through my actions?,神様の愛を表す私の態度はどんなものですか？,我表达神爱的态度如何？,¿Cómo expreso el amor de Dios en mis actitudes?
460,북한 지하교회와 함께 드리는 예배 마음 갖기,Worshiping with the Heart of North Korea's Underground Church,北朝鮮の地下教会と共に礼拝する心を持つ,以与北韩地下教会同心的心态敬拜,Adorar con el corazón de la iglesia subterránea norcoreana,예배 중에 북한 지하교회 성도들이 떠올랐습니다. 자유롭게 찬양하는 지금 이 순간이 얼마나 귀한지 깨달으며 더 진심으로 예배드렸습니다.,"During worship, I thought of believers in North Korea’s underground churches. I realized how precious it is to praise freely, and worshiped with deeper sincerity.",礼拝中に北朝鮮の地下教会の信徒たちを思い出しました。自由に賛美できる今この瞬間がどれほど貴重かを悟り、心から礼拝を捧げました。,在敬拜中我想到了北韩地下教会的信徒，意识到能自由赞美是多么宝贵，于是更加真诚地敬拜。,"Durante la adoración, pensé en los creyentes de las iglesias subterráneas de Corea del Norte. Comprendí lo valioso que es alabar con libertad y adoré con más sinceridad.",나는 오늘 예배를 어떤 마음으로 드렸나요?,With what heart did I worship today?,今日はどんな心で礼拝を捧げましたか？,今天我是带着怎样的心敬拜的？,¿Con qué corazón adoré hoy?,자유 속에서 예배드리는 내가 감사해야 할 것은 무엇인가요?,What should I be thankful for as I worship in freedom?,自由の中で礼拝できる私が感謝すべきことは何でしょうか？,我在自由中敬拜，有什么是值得感恩的？,¿Por qué debería estar agradecido al adorar en libertad?
461,주일 헌금 중 일부 북한 선교를 위해 따로 구별하기,Setting Aside Part of Sunday Offering for North Korea Missions,主日献金の一部を北朝鮮宣教のために分ける,将主日奉献的一部分专用于北韩宣教,Separar parte de la ofrenda dominical para la misión en Corea del Norte,"작은 액수였지만, 북한 선교 헌금을 따로 준비했습니다. 마음이 더욱 진지해졌고, 주일 헌금이 단순한 의무가 아닌 사랑의 표현임을 알게 되었습니다.","Though it was a small amount, I prepared a separate offering for North Korea missions. My heart became more sincere, and I realized that giving is an expression of love, not just a duty.",少額でしたが、北朝鮮宣教のために別途献金を準備しました。心がより真剣になり、主日献金が義務ではなく愛の表現であることに気づきました。,虽然数额不大，但我特地为北韩宣教准备了奉献。我的心变得更加认真，也明白主日奉献不是责任，而是爱的表达。,"Aunque era una pequeña cantidad, preparé una ofrenda separada para la misión en Corea del Norte. Mi corazón se volvió más sincero y comprendí que la ofrenda no es solo un deber, sino una expresión de amor.",나는 오늘 나눔의 기쁨을 경험했나요?,Did I experience the joy of sharing today?,今日は分かち合いの喜びを経験しましたか？,今天我是否经历了施予的喜乐？,¿Experimenté hoy el gozo de compartir?,하나님은 나의 작은 헌신을 어떻게 사용하실까요?,How might God use my small act of devotion?,神様は私の小さな献身をどのように用いられるでしょうか？,神会如何使用我这微小的献上？,¿Cómo podría Dios usar mi pequeña entrega?
462,아침에 일어나 하나님께 하루를 맡기기,Starting the Day by Entrusting It to God,朝起きて神様に一日を委ねる,早晨起来把这一天交托给神,Comenzar el día confiándolo a Dios,"일어나자마자 핸드폰을 보기 전, 조용히 하나님께 하루를 맡겼습니다. 짧은 기도였지만 마음이 안정되었고, 하루의 방향이 달라졌습니다.","Before checking my phone upon waking up, I quietly entrusted my day to God. It was a short prayer, but it brought peace and changed the direction of my day.",起きてすぐにスマホを見る前に、静かに神様に一日を委ねました。短い祈りでしたが、心が落ち着き、その日一日の方向が変わりました。,早晨醒来，我没有立刻看手机，而是安静地把这一天交托给神。虽然只是短短的祷告，却带来了平安，也改变了整天的方向。,"Antes de mirar el celular al despertarme, confié mi día a Dios en silencio. Fue una oración breve, pero me dio paz y cambió el rumbo de mi jornada.","오늘 아침, 나는 누구에게 가장 먼저 말을 걸었나요?",Who did I speak to first this morning?,今朝、最初に誰に話しかけましたか？,今天早上我最先和谁说话？,¿A quién le hablé primero esta mañana?,하나님과 하루를 시작할 때 어떤 변화가 있었나요?,What changed when I started the day with God?,神様と一日を始めることで何が変わりましたか？,当我与神一起开始这一天时，有什么不同？,¿Qué cambió al comenzar el día con Dios?
463,다툼이 아닌 이해로 반응하기,Responding with Understanding Instead of Conflict,争いではなく理解で応じる,用理解而不是争吵来回应,Responder con comprensión en lugar de pelear,"대화 중 오해로 다툴 뻔했지만, 숨을 고르고 상대를 이해하려 노력했습니다. 그 순간 하나님이 주시는 평안을 느꼈고, 갈등은 오히려 화해의 기회가 되었습니다.","During a conversation, I almost argued due to a misunderstanding, but I paused and tried to understand the other person. I felt God's peace and the conflict turned into a chance for reconciliation.",会話の中で誤解から争いになりそうでしたが、一息ついて相手を理解しようと努めました。その瞬間、神様からの平安を感じ、対立はむしろ和解の機会になりました。,交谈中因误会差点争吵，我深呼吸后试着理解对方。那一刻我感受到神所赐的平安，冲突反而成为和解的机会。,"Durante una conversación, estuve a punto de discutir por un malentendido, pero respiré hondo e intenté comprender a la otra persona. Sentí la paz de Dios y el conflicto se convirtió en una oportunidad de reconciliación.",오늘 나는 어떤 감정을 선택했나요?,What emotion did I choose today?,今日はどんな感情を選びましたか？,今天我选择了什么情绪？,¿Qué emoción elegí hoy?,하나님의 성품은 내 삶에 어떻게 드러나고 있나요?,How is God's character being revealed in my life?,神様のご性質は私の人生にどのように現れていますか？,神的品性如何在我的生命中显现？,¿Cómo se refleja el carácter de Dios en mi vida?
464,북한 관련 기사 하나 읽고 기도하기,Read a North Korea Article and Pray,北朝鮮に関する記事を一つ読んで祈る,阅读一篇有关北韩的新闻并祷告,Leer un artículo sobre Corea del Norte y orar,"뉴스에서 북한 관련 기사를 읽고, 무감각해지지 않으려 짧게 기도했습니다. 그 땅도 하나님의 땅이며, 회복을 원하신다는 사실을 다시 깨달았습니다.","After reading a news article about North Korea, I said a short prayer to keep my heart from becoming numb. I was reminded that North Korea is God’s land too, and He desires its restoration.",ニュースで北朝鮮に関する記事を読み、無関心にならないように短く祈りました。その地も神様の土地であり、神様が回復を望んでおられることを思い出しました。,读完关于北韩的新闻后，我做了一个简短的祷告，提醒自己不要麻木。那片土地也是神的国度，祂愿意恢复它。,"Después de leer una noticia sobre Corea del Norte, hice una breve oración para no insensibilizarme. Recordé que esa tierra también le pertenece a Dios y Él desea su restauración.",오늘 나는 어떤 뉴스 속에서 하나님의 마음을 느꼈나요?,In which news today did I feel God’s heart?,今日、どのニュースの中で神様の御心を感じましたか？,今天我在哪篇新闻中感受到神的心？,¿En qué noticia sentí hoy el corazón de Dios?,북한을 위한 나의 기도는 무엇이었나요?,What was my prayer for North Korea?,北朝鮮のためにどんな祈りをしましたか？,我为北韩献上的祷告是什么？,¿Cuál fue mi oración por Corea del Norte?
465,주변에 하나님이 함께하신다는 말을 전하기,Telling Someone That God Is with Them,周りの人に「神様が共におられる」と伝える,告诉身边的人神与他们同在,Decirle a alguien que Dios está con él,"힘들어 보이는 친구에게 '하나님이 함께하셔'라는 말을 건넸습니다. 친구는 조용히 고개를 끄덕였고, 서로의 믿음이 조금 더 가까워졌습니다.","I told a struggling friend, 'God is with you.' They nodded quietly, and our faith felt a little closer.",つらそうな友達に「神様が共におられるよ」と声をかけました。友達は静かにうなずき、私たちの信仰が少し近づいた気がしました。,我对一位看起来很辛苦的朋友说：“神与你同在。”朋友默默点头，我们的信仰也更加靠近了。,"A un amigo que parecía estar pasándola mal, le dije: 'Dios está contigo'. Asintió en silencio, y nuestra fe se sintió más cercana.",오늘 나는 누구에게 하나님의 존재를 전했나요?,To whom did I share God's presence today?,今日は誰に神様の存在を伝えましたか？,今天我向谁传达了神的同在？,¿A quién le compartí la presencia de Dios hoy?,하나님은 나를 통해 어떤 위로를 전하시길 원하실까요?,What kind of comfort does God want to deliver through me?,神様は私を通してどんな慰めを与えたいと願っておられるでしょうか？,神希望借着我传递怎样的安慰？,¿Qué consuelo quiere Dios transmitir a través de mí?
466,북한을 위해 기도하는 하루 시작하기,Starting the Day Praying for North Korea,北朝鮮のために祈って一日を始める,以为北韩祷告开始新的一天,Comenzar el día orando por Corea del Norte,"아침마다 드리는 짧은 기도가 있었다. 하지만 오늘은 특별히 북한의 주민들, 그 땅의 교회, 숨어 예배하는 성도들을 위해 기도했다. 눈물이 흘렀다. 내가 할 수 있는 가장 강력한 일이 기도라는 걸 새삼 느꼈다.","I usually say a short morning prayer, but today I prayed specifically for the people of North Korea, their churches, and the believers who worship in hiding. I wept. I realized once again that prayer is the most powerful thing I can do.",毎朝短い祈りを捧げていましたが、今日は特に北朝鮮の住民たち、その地の教会、隠れて礼拝する信徒たちのために祈りました。涙が流れました。自分にできる最も力強いことは祈りだと改めて感じました。,我每天早上都会祷告，但今天特别为北韩人民、那地的教会和在隐秘中敬拜的信徒祷告。我流下了眼泪，再次体会到祷告是我能做的最有力的事。,"Normalmente hago una breve oración matutina, pero hoy oré especialmente por los habitantes de Corea del Norte, sus iglesias y los creyentes que adoran en secreto. Lloré. Volví a sentir que la oración es lo más poderoso que puedo hacer.",나는 오늘 북한을 위해 어떤 기도를 했나요?,What kind of prayer did I offer for North Korea today?,今日は北朝鮮のためにどんな祈りを捧げましたか？,今天我为北韩祷告了些什么？,¿Qué tipo de oración hice hoy por Corea del Norte?,하나님은 나의 기도를 통해 어떤 일을 시작하실까요?,What might God begin through my prayer?,神様は私の祈りを通してどんなことを始められるでしょうか？,神会通过我的祷告开始做什么事？,¿Qué puede comenzar Dios a través de mi oración?
468,오늘도 하나님과 함께 걷기,Walking with God Again Today,今日も神様と共に歩む,今天也与神同行,Caminar con Dios también hoy,"바쁜 하루였지만, 매 순간 '하나님, 지금도 함께하시죠?'라고 속으로 물었다. 출근길에도, 회의 중에도. 마음이 분주할 때마다 하나님과 동행하는 것이 어떤 기적인지 느꼈다.","It was a busy day, but at every moment, I whispered, 'God, You're with me, right?' On the way to work, during meetings—I realized what a miracle it is to walk with God even in chaos.",忙しい一日でしたが、瞬間ごとに「神様、今も共におられますか？」と心の中で問いかけました。通勤途中も、会議中も。心が忙しくなるたびに、神様と共に歩むことがどれほどの奇跡かを感じました。,虽然是忙碌的一天，但我在每一刻都在心中默问：“神啊，你现在也与我同在吗？”无论是在上班路上，还是开会时，我感受到即使在繁忙中也能与神同行是一种奇迹。,"Fue un día ocupado, pero en cada momento susurré: 'Dios, ¿estás conmigo, verdad?'. En el camino al trabajo, en reuniones... Sentí que caminar con Dios incluso en medio del caos es un milagro.",오늘 나는 하나님과 어떤 대화를 나누었나요?,What kind of conversation did I have with God today?,今日は神様とどんな対話をしましたか？,今天我与神有过怎样的对话？,¿Qué conversación tuve con Dios hoy?,하나님이 항상 나와 함께하신다는 사실을 잊고 살진 않았나요?,Have I forgotten that God is always with me?,神様がいつも共におられることを忘れていませんか？,我是否忘记了神一直与我同在？,¿He olvidado que Dios siempre está conmigo?
469,북한의 다음 세대를 축복하며 기도하기,Praying Blessings Over North Korea's Next Generation,北朝鮮の次世代のために祝福の祈りを捧げる,为北韩的下一代祝福祷告,Orar bendiciones por la próxima generación de Corea del Norte,"북한의 아이들을 상상해봤다. 찬송을 크게 부를 수 없는 그 아이들. 그들을 위해 찬송을 부르고, 축복의 기도를 했다. 하나님께서 그 아이들에게도 소망을 주실 거라는 믿음이 생겼다.",I imagined children in North Korea—unable to sing praise loudly. I sang for them and prayed blessings over them. I came to believe God will give hope to them too.,北朝鮮の子どもたちを想像してみました。賛美歌を大きな声で歌うことができない彼らのために、私は代わりに賛美を歌い、祝福の祈りを捧げました。神様がその子どもたちにも希望を与えてくださると信じるようになりました。,我想象着北韩的孩子们——无法大声唱诗赞美的孩子们。我为他们唱赞美，为他们祝福祷告。我相信神也会赐给他们希望。,"Imaginé a los niños de Corea del Norte, que no pueden cantar alabanzas en voz alta. Canté por ellos y oré bendiciones sobre ellos. Empecé a creer que Dios también les dará esperanza.",나는 북한의 어린이들을 위해 어떤 축복을 전했나요?,What blessings did I declare over the children of North Korea?,北朝鮮の子どもたちにどんな祝福を祈りましたか？,我为北韩的孩子们祈求了哪些祝福？,¿Qué bendiciones declaré sobre los niños norcoreanos?,하나님은 다음 세대에게 어떤 비전을 주실까요?,What vision might God give to the next generation?,神様は次世代にどんなビジョンを与えてくださるでしょうか？,神会赐予下一代什么样的异象？,¿Qué visión podría dar Dios a la próxima generación?
